fid,objectid,cod_rip,cod_reg,cod_prov,pro_com,pro_com_t
205,19589,1,2,7,7032,"007032"
206,17937,2,5,29,29037,"029037"
207,19333,2,5,27,27042,"027042"
208,21014,4,16,71,71046,"071046"
209,19178,1,3,108,108033,"108033"
210,21518,1,3,18,18014,"018014"
211,27421,3,11,42,42048,"042048"
212,31786,4,15,64,64114,"064114"
213,21076,2,8,37,37054,"037054"
214,26329,2,8,35,35033,"035033"
215,21825,4,16,71,71052,"071052"
216,25024,1,1,5,5091,"005091"
217,25247,3,12,58,58091,"058091"
218,27130,2,5,26,26056,"026056"
219,26521,4,15,63,63049,"063049"
220,18029,1,7,10,10056,"010056"
221,19883,2,5,28,28088,"028088"
222,17093,2,5,26,26057,"026057"
223,19096,1,3,15,15195,"015195"
224,14952,2,8,36,36023,"036023"
225,14683,1,3,18,18093,"018093"
226,26589,4,15,63,63049,"063049"
227,19953,2,5,28,28016,"028016"
228,24954,2,8,34,34027,"034027"
229,23579,4,15,63,63049,"063049"
230,30297,1,3,13,13036,"013036"
231,26432,3,12,60,60063,"060063"
232,24975,2,8,37,37039,"037039"
233,22530,2,8,40,40016,"040016"
234,22540,5,20,92,92074,"092074"
235,24655,2,8,37,37028,"037028"
236,24160,2,8,35,35033,"035033"
237,22213,1,3,18,18180,"018180"
238,31608,1,3,16,16152,"016152"
239,20826,2,5,24,24085,"024085"
240,21904,3,9,49,49004,"049004"
241,26061,3,10,54,54039,"054039"
242,16326,2,5,27,27013,"027013"
243,19083,1,2,7,7028,"007028"
244,26267,2,8,37,37009,"037009"
245,20222,2,8,39,39016,"039016"
246,25162,2,5,26,26037,"026037"
247,25077,4,15,64,64097,"064097"
248,26383,1,1,1,1017,"001017"
249,26936,1,3,16,16034,"016034"
250,19384,4,15,64,64115,"064115"
251,22594,4,13,68,68012,"068012"
252,25467,2,5,28,28076,"028076"
253,21666,3,12,56,56053,"056053"
254,17419,1,3,18,18016,"018016"
255,23045,1,3,15,15146,"015146"
256,16747,2,5,28,28106,"028106"
257,25904,1,3,13,13255,"013255"
258,18453,4,16,75,75035,"075035"
259,20859,2,5,26,26086,"026086"
260,25029,1,1,3,3131,"003131"
261,26182,5,20,111,111062,"111062"
262,25105,3,12,58,58091,"058091"
263,14672,1,3,13,13055,"013055"
264,17615,2,6,30,30054,"030054"
265,17355,1,3,18,18081,"018081"
266,20501,2,8,36,36015,"036015"
267,21312,3,11,42,42018,"042018"
268,16892,1,3,15,15146,"015146"
269,18901,4,15,63,63049,"063049"
270,18613,1,3,13,13084,"013084"
271,18259,2,5,23,23060,"023060"
272,24729,2,5,26,26089,"026089"
273,24666,1,1,3,3100,"003100"
274,17442,1,1,6,6172,"006172"
275,27124,2,6,30,30188,"030188"
276,21891,4,13,68,68028,"068028"
277,25122,1,7,9,9019,"009019"
278,24450,4,16,75,75052,"075052"
279,24436,4,15,64,64006,"064006"
280,16707,3,12,60,60006,"060006"
281,18729,1,1,1,1223,"001223"
