status,evse_id,coordinates_latitude,coordinates_longitude
AVAILABLE,IT0721090032*2,42.3621739,14.1988562
AVAILABLE,IT0721090037,45.478264,9.3084021
AVAILABLE,IT0721090037*2,45.478264,9.3084021
AVAILABLE,IT0721090041*1,44.8448589,11.6489016
AVAILABLE,IT0721090041*2,44.8448589,11.6489016
AVAILABLE,IT0721090043*1,45.4539165,11.9906097
AVAILABLE,IT0721090043*2,45.4539165,11.9906097
AVAILABLE,IT0721090050*1,45.2293948,11.7391515
AVAILABLE,IT0721090050*2,45.2293948,11.7391515
AVAILABLE,IT0721090056*1,44.8448589,11.6489016
AVAILABLE,IT0721090056*2,44.8448589,11.6489016
AVAILABLE,IT0721090061*1,42.3621739,14.1988562
AVAILABLE,IT0721090061*2,42.3621739,14.1988562
AVAILABLE,IT0721090065*1,45.692104,9.693252
AVAILABLE,IT0721090065*2,45.692104,9.693252
AVAILABLE,IT0721090067*1,42.3621739,14.1988562
AVAILABLE,IT0721090067*2,42.3621739,14.1988562
AVAILABLE,IT0721090068*1,45.4539165,11.9906097
AVAILABLE,IT0721090068*2,45.4539165,11.9906097
AVAILABLE,IT0721090075*1,42.3621739,14.1988562
AVAILABLE,IT0721090075*2,42.3621739,14.1988562
AVAILABLE,IT0721090085*1,45.2293948,11.7391515
AVAILABLE,IT0721090085*2,45.2293948,11.7391515
AVAILABLE,IT0721090094*1,44.8448589,11.6489016
AVAILABLE,IT0721090094*2,44.8448589,11.6489016
AVAILABLE,IT0721090095*1,45.2293948,11.7391515
AVAILABLE,IT0721090095*2,45.2293948,11.7391515
AVAILABLE,IT0721090097*1,45.478264,9.3084021
AVAILABLE,IT0721090097*2,45.478264,9.3084021
AVAILABLE,IT0721090133*1,45.4359859,7.9283459
AVAILABLE,IT*2ZG*EGS287.M504*1,45.328806,11.908734
AVAILABLE,IT*2ZG*EGS287.M504*2,45.328806,11.908734
AVAILABLE,IT*2ZG*EGS287.M504*3,45.328806,11.908734
AVAILABLE,IT*2ZG*EGS287.M504*4,45.328806,11.908734
AVAILABLE,IT*2ZG*EGS323.M504*1,45.9275976,12.3749318
AVAILABLE,IT*2ZG*EGS334.M504*1,45.9516454,12.3913011
AVAILABLE,IT*2ZG*EGS385.M504*1,45.354832,12.030204
AVAILABLE,IT*2ZG*EGS385.M504*2,45.354832,12.030204
AVAILABLE,IT*2ZG*EGS385.M504*3,45.354832,12.030204
AVAILABLE,IT*2ZG*EGS385.M504*4,45.354832,12.030204
AVAILABLE,IT*2ZG*EGS715.M504*1,45.411243,11.844981
AVAILABLE,IT*2ZG*EGS715.M504*2,45.411243,11.844981
AVAILABLE,IT*2ZG*EGS715.M504*3,45.411243,11.844981
AVAILABLE,IT*2ZG*EGS715.M504*4,45.411243,11.844981
AVAILABLE,IT*2ZG*EORB0016*1,43.4614318,11.882631
AVAILABLE,IT*2ZG*EORB0016*2,43.4614318,11.882631
AVAILABLE,IT*2ZG*EORB0020*1,45.6329843,12.264761
AVAILABLE,IT*2ZG*EORB0020*2,45.6329843,12.264761
AVAILABLE,IT*2ZG*ESCAME03*1,45.696523,9.035395
AVAILABLE,IT*2ZG*ESCAME03*2,45.696523,9.035395
AVAILABLE,IT*2ZG*ESCAME03*3,45.696523,9.035395
AVAILABLE,IT*2ZG*ESCAME03*4,45.696523,9.035395
AVAILABLE,IT*2ZG*ESCAME03*5,45.696523,9.035395
AVAILABLE,IT*2ZG*ESCAME03*6,45.696523,9.035395
AVAILABLE,IT*2ZG*ESCAME08*1,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME08*2,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME08*3,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME08*4,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME08*5,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME08*6,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME08*7,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME08*8,43.4562782,11.8812092
AVAILABLE,IT*2ZG*ESCAME11*1,44.887086,9.987618
AVAILABLE,IT*2ZG*ESCAME11*2,44.887086,9.987618
AVAILABLE,IT*2ZG*ESCAME12*1,45.316003,11.914887
AVAILABLE,IT*2ZG*ESCAME12*2,45.316003,11.914887
AVAILABLE,IT*2ZG*ESCAME13*1,45.492005,12.259673
AVAILABLE,IT*2ZG*ESCAME13*2,45.492005,12.259673
AVAILABLE,IT*2ZG*ESCAME14*1,45.344312,11.867134
AVAILABLE,IT*2ZG*ESCAME15*1,45.474663,9.990978
AVAILABLE,IT*2ZG*ESCAME15*2,45.474663,9.990978
AVAILABLE,IT*2ZG*ESCAME19*1,45.559275,12.231906
AVAILABLE,IT*2ZG*ESCAME19*2,45.559275,12.231906
AVAILABLE,IT*2ZG*ESCAME20*1,45.587314,12.300986
AVAILABLE,IT*2ZG*ESCAME20*2,45.587314,12.300986
AVAILABLE,IT*2ZG*ESCAME21*1,45.554319,12.246778
AVAILABLE,IT*2ZG*ESCAME21*2,45.554319,12.246778
AVAILABLE,IT*2ZG*ESCAME22*1,45.559592,12.235417
AVAILABLE,IT*2ZG*ESCAME22*2,45.559592,12.235417
AVAILABLE,IT*2ZG*ESCAME23*1,45.534358,12.244756
AVAILABLE,IT*2ZG*ESCAME23*2,45.534358,12.244756
AVAILABLE,IT*2ZG*ESCAME23*3,45.534358,12.244756
AVAILABLE,IT*2ZG*ESCAME23*4,45.534358,12.244756
AVAILABLE,IT*2ZG*ESCAME26*1,43.426653,11.829262
AVAILABLE,IT*2ZG*ESCAME26*2,43.426653,11.829262
AVAILABLE,IT*2ZG*ESCAME26*3,43.426653,11.829262
AVAILABLE,IT*2ZG*ESCAME26*4,43.426653,11.829262
AVAILABLE,IT*2ZG*ESCAME29*1,44.47215,8.911363
AVAILABLE,IT*2ZG*ESCAME29*2,44.47215,8.911363
AVAILABLE,IT*2ZG*ESCAME30*1,44.4211,8.8812
AVAILABLE,IT*2ZG*ESCAME30*2,44.4211,8.8812
AVAILABLE,IT*2ZG*ESCAME31*1,46.009361,12.617586
AVAILABLE,IT*2ZG*ESCAME31*2,46.009361,12.617586
AVAILABLE,IT*2ZG*ESCAME33*1,46.279857,10.257476
AVAILABLE,IT*2ZG*ESCAME34*1,45.810648,9.086502
AVAILABLE,IT*2ZG*ESCAME34*2,45.810648,9.086502
AVAILABLE,IT*2ZG*ESCAME38*1,45.7860873,9.422684
AVAILABLE,IT*2ZG*ESCAME38*2,45.7860873,9.422684
AVAILABLE,IT*2ZG*ESCAME40*1,39.980605,18.243682
AVAILABLE,IT*2ZG*ESCAME40*2,39.980605,18.243682
AVAILABLE,IT*2ZG*ESCAME41*1,45.2801102,11.8639007
AVAILABLE,IT*2ZG*ESCAME41*2,45.2801102,11.8639007
AVAILABLE,IT*2ZG*ESCAME42*1,45.55084,11.00411
AVAILABLE,IT*2ZG*ESCAME42*2,45.55084,11.00411
AVAILABLE,IT*2ZG*ESCAME42*3,45.55084,11.00411
AVAILABLE,IT*2ZG*ESCAME42*4,45.55084,11.00411
AVAILABLE,IT*2ZG*ESCAME43*1,45.6572584,9.1663807
AVAILABLE,IT*2ZG*ESCAME43*2,45.6572584,9.1663807
AVAILABLE,IT*2ZG*ESCAME43*3,45.6572584,9.1663807
AVAILABLE,IT*2ZG*ESCAME43*4,45.6572584,9.1663807
AVAILABLE,IT*2ZG*ESCAME43*5,45.6572584,9.1663807
AVAILABLE,IT*2ZG*ESCAME48*1,45.415623,9.115721
AVAILABLE,IT*2ZG*ESCAME48*2,45.415623,9.115721
AVAILABLE,IT*2ZG*ESCAME49*1,45.4610239,9.1887957
AVAILABLE,IT*2ZG*ESCAME49*2,45.4610239,9.1887957
AVAILABLE,IT*2ZG*ESCAME50*1,45.782586,12.412346
AVAILABLE,IT*2ZG*ESCAME53*1,45.3731112,11.9859643
AVAILABLE,IT*2ZG*ESCAME53*2,45.3731112,11.9859643
AVAILABLE,IT*2ZG*ESCAME53*3,45.3731112,11.9859643
AVAILABLE,IT*2ZG*ESCAME53*4,45.3731112,11.9859643
AVAILABLE,IT*2ZG*ESCAME56*1,44.0585255,8.0199314
AVAILABLE,IT*2ZG*ESCAME56*2,44.0585255,8.0199314
AVAILABLE,IT*2ZG*ESCAME56*3,44.0585255,8.0199314
AVAILABLE,IT*2ZG*ESCAME58*1,42.8075938,10.3138726
AVAILABLE,IT*2ZG*ESCAME58*2,42.8075938,10.3138726
AVAILABLE,IT*2ZG*ESCAME59*1,45.821775,12.258727
AVAILABLE,IT*2ZG*ESCAME59*2,45.821775,12.258727
AVAILABLE,IT*2ZG*ESCAME71*1,45.5804075,10.0265396
AVAILABLE,IT*2ZG*ESCAME71*2,45.5804075,10.0265396
AVAILABLE,IT*2ZG*ESCAME76*1,43.8653444,10.259411
AVAILABLE,IT*2ZG*ESCAME76*2,43.8653444,10.259411
AVAILABLE,IT*2ZG*ESCAME76*3,43.8653444,10.259411
AVAILABLE,IT*2ZG*ESCAME76*4,43.8653444,10.259411
AVAILABLE,IT*2ZG*ESCAME77*1,45.602343,9.00004
AVAILABLE,IT*2ZG*ESCAME77*2,45.602343,9.00004
AVAILABLE,IT*2ZG*ESCAME77*3,45.602343,9.00004
AVAILABLE,IT*2ZG*ESCAME77*4,45.602343,9.00004
AVAILABLE,IT*2ZG*ESCAME78*1,45.8985535,12.2983936
AVAILABLE,IT*2ZG*ESCAME78*2,45.8985535,12.2983936
AVAILABLE,IT*2ZG*ESCAME79*1,45.8900753,12.3021897
AVAILABLE,IT*2ZG*ESCAME79*2,45.8900753,12.3021897
AVAILABLE,IT*2ZG*ESCAME80*1,45.8870014,12.3019032
AVAILABLE,IT*2ZG*ESCAME80*2,45.8870014,12.3019032
AVAILABLE,IT*2ZG*ESCAME81*1,45.8827455,12.2944426
AVAILABLE,IT*2ZG*ESCAME81*2,45.8827455,12.2944426
AVAILABLE,IT*2ZG*ESCAME82*1,45.8905831,12.3061921
AVAILABLE,IT*2ZG*ESCAME82*2,45.8905831,12.3061921
AVAILABLE,IT*2ZG*ESCAME83*1,45.9426809,12.3183389
AVAILABLE,IT*2ZG*ESCAME83*2,45.9426809,12.3183389
AVAILABLE,IT*2ZG*ESCAME84*1,45.8801765,12.3087402
AVAILABLE,IT*2ZG*ESCAME84*2,45.8801765,12.3087402
AVAILABLE,IT*2ZG*ESCAME85*1,45.8668343,12.3150873
AVAILABLE,IT*2ZG*ESCAME85*2,45.8668343,12.3150873
AVAILABLE,IT*2ZG*ESCAME86*1,45.871062,12.2728621
AVAILABLE,IT*2ZG*ESCAME86*2,45.871062,12.2728621
AVAILABLE,IT*2ZG*ESCAME87*1,45.8758858,12.2881126
AVAILABLE,IT*2ZG*ESCAME87*2,45.8758858,12.2881126
AVAILABLE,IT*2ZG*ESCAME88*1,45.8880121,12.3423487
AVAILABLE,IT*2ZG*ESCAME88*2,45.8880121,12.3423487
AVAILABLE,IT*2ZG*ESCAME90*1,45.291522,9.986409
AVAILABLE,IT*2ZG*ESCAME90*2,45.291522,9.986409
AVAILABLE,IT*2ZG*ESCAME91*1,45.2943209,9.9877085
AVAILABLE,IT*2ZG*ESCAME91*2,45.2943209,9.9877085
AVAILABLE,IT*2ZG*ESCAME92*1,45.2943209,9.9877085
AVAILABLE,IT*2ZG*ESCAME92*2,45.2943209,9.9877085
AVAILABLE,IT*2ZG*ESCAME94*1,45.29099,12.03757
AVAILABLE,IT*2ZG*ESCAME94*2,45.29099,12.03757
AVAILABLE,IT*2ZG*ESCAME95*1,45.2905,12.03182
AVAILABLE,IT*2ZG*ESCAME95*2,45.2905,12.03182
AVAILABLE,IT*2ZG*ESCAME96*1,45.29562,12.03779
AVAILABLE,IT*2ZG*ESCAME96*2,45.29562,12.03779
AVAILABLE,IT*2ZG*ESCAME97*1,45.29643,12.03881
AVAILABLE,IT*2ZG*ESCAME97*2,45.29643,12.03881
AVAILABLE,IT*2ZG*ESCAME100*1,42.343855,13.646262
AVAILABLE,IT*2ZG*ESCAME100*2,42.343855,13.646262
AVAILABLE,IT*2ZG*ESCAME104*1,45.3894898,11.7919563
AVAILABLE,IT*2ZG*ESCAME104*2,45.3894898,11.7919563
AVAILABLE,IT*2ZG*ESCAME106*1,42.4641801,11.2418163
AVAILABLE,IT*2ZG*ESCAME106*2,42.4641801,11.2418163
AVAILABLE,IT*2ZG*ESCAME106*3,42.4641801,11.2418163
AVAILABLE,IT*2ZG*ESCAME106*4,42.4641801,11.2418163
AVAILABLE,IT*2ZG*ESCAME108*1,45.90038,12.12686
AVAILABLE,IT*2ZG*ESCAME108*2,45.90038,12.12686
AVAILABLE,IT*2ZG*ESCAME114*1,45.4027323,10.2775888
AVAILABLE,IT*2ZG*ESCAME114*2,45.4027323,10.2775888
AVAILABLE,IT*2ZG*ESCAME115*1,45.3965434,10.2693831
AVAILABLE,IT*2ZG*ESCAME115*2,45.3965434,10.2693831
AVAILABLE,IT*2ZG*ESCAME118*1,45.925052,12.37196
AVAILABLE,IT*2ZG*ESCAME118*2,45.925052,12.37196
AVAILABLE,IT*2ZG*ESCAME121*1,45.6925192,9.6141811
AVAILABLE,IT*2ZG*ESCAME121*2,45.6925192,9.6141811
AVAILABLE,IT*2ZG*ESCAME122*1,45.6558606,12.2060447
AVAILABLE,IT*2ZG*ESCAME122*2,45.6558606,12.2060447
AVAILABLE,IT*2ZG*ESCAME122*3,45.6558606,12.2060447
AVAILABLE,IT*2ZG*ESCAME122*4,45.6558606,12.2060447
AVAILABLE,IT*2ZG*ESCAME122*5,45.6558606,12.2060447
AVAILABLE,IT*2ZG*ESCAME122*6,45.6558606,12.2060447
AVAILABLE,IT*2ZG*ESCAME126*1,45.931462,12.423771
AVAILABLE,IT*2ZG*ESCAME126*2,45.931462,12.423771
AVAILABLE,IT*2ZG*ESCAME127*1,45.6116191,9.0315727
AVAILABLE,IT*2ZG*ESCAME127*2,45.6116191,9.0315727
AVAILABLE,IT*2ZG*ESCAME129*1,41.7139134,12.6257941
AVAILABLE,IT*2ZG*ESCAME129*2,41.7139134,12.6257941
AVAILABLE,IT*2ZG*ESCAME130*1,45.6416064,10.0132661
AVAILABLE,IT*2ZG*ESCAME130*2,45.6416064,10.0132661
AVAILABLE,IT*2ZG*ESCAME130*3,45.6416064,10.0132661
AVAILABLE,IT*2ZG*ESCAME130*4,45.6416064,10.0132661
AVAILABLE,IT*2ZG*ESCAME133*1,45.3451857,11.8756319
AVAILABLE,IT*2ZG*ESCAME133*2,45.3451857,11.8756319
AVAILABLE,IT*2ZG*ESCAME133*3,45.3451857,11.8756319
AVAILABLE,IT*2ZG*ESCAME133*4,45.3451857,11.8756319
AVAILABLE,IT*2ZG*ESCAME145*1,45.6476701,11.8257578
AVAILABLE,IT*2ZG*ESCAME145*2,45.6476701,11.8257578
AVAILABLE,IT*2ZG*ESCAME153*1,40.7356359,13.9412402
AVAILABLE,IT*2ZG*ESCAME153*2,40.7356359,13.9412402
AVAILABLE,IT*2ZG*ESCAME154*1,45.1524749,10.7693471
AVAILABLE,IT*2ZG*ESCAME154*2,45.1524749,10.7693471
AVAILABLE,IT*2ZG*ESCAME159*1,45.4828656,11.3771366
AVAILABLE,IT*2ZG*ESCAME159*2,45.4828656,11.3771366
AVAILABLE,IT*2ZG*ESCAME164*1,45.8973803,11.9893597
AVAILABLE,IT*2ZG*ESCAME164*2,45.8973803,11.9893597
AVAILABLE,IT*2ZG*ESCAME164*3,45.8973803,11.9893597
AVAILABLE,IT*2ZG*ESCAME164*4,45.8973803,11.9893597
AVAILABLE,IT*2ZG*ESCAME164*5,45.8973803,11.9893597
AVAILABLE,IT*2ZG*ESCAME164*6,45.8973803,11.9893597
AVAILABLE,IT*2ZG*ESCAME165*1,45.873859,9.970193
AVAILABLE,IT*2ZG*ESCAME165*2,45.873859,9.970193
AVAILABLE,IT*2ZG*ESCAME166*1,45.6929242,12.2603608
AVAILABLE,IT*2ZG*ESCAME166*2,45.6929242,12.2603608
AVAILABLE,IT*2ZG*ESCAME167*1,38.25819,15.60171
AVAILABLE,IT*2ZG*ESCAME167*2,38.25819,15.60171
AVAILABLE,IT*2ZG*ESCAME167*3,38.25819,15.60171
AVAILABLE,IT*2ZG*ESCAME167*4,38.25819,15.60171
AVAILABLE,IT*2ZG*ESCAME167*5,38.25819,15.60171
AVAILABLE,IT*2ZG*ESCAME167*6,38.25819,15.60171
AVAILABLE,IT*2ZG*ESCAME173*1,45.98377,12.21519
AVAILABLE,IT*2ZG*ESCAME173*2,45.98377,12.21519
AVAILABLE,IT*2ZG*ESCAME174*1,45.99707,12.25232
AVAILABLE,IT*2ZG*ESCAME174*2,45.99707,12.25232
AVAILABLE,IT*2ZG*ESCAME176*1,43.4763562,11.1363022
AVAILABLE,IT*2ZG*ESCAME176*2,43.4763562,11.1363022
AVAILABLE,IT*2ZG*ESCAME178*1,45.0719344,10.4373002
AVAILABLE,IT*2ZG*ESCAME178*2,45.0719344,10.4373002
AVAILABLE,IT*2ZG*ESCAME179*1,41.9687079,12.7105688
AVAILABLE,IT*2ZG*ESCAME179*2,41.9687079,12.7105688
AVAILABLE,IT*2ZG*ESCAME179*3,41.9687079,12.7105688
AVAILABLE,IT*2ZG*ESCAME179*4,41.9687079,12.7105688
AVAILABLE,IT*2ZG*ESCAME183*1,45.78079,12.069987
AVAILABLE,IT*2ZG*ESCAME183*2,45.78079,12.069987
AVAILABLE,IT*2ZG*ESCAME184*1,45.4893115,12.2441628
AVAILABLE,IT*2ZG*ESCAME184*2,45.4893115,12.2441628
AVAILABLE,IT*2ZG*ESCAME184*3,45.4893115,12.2441628
AVAILABLE,IT*2ZG*ESCAME184*4,45.4893115,12.2441628
AVAILABLE,IT*2ZG*ESCAME184*5,45.4893115,12.2441628
AVAILABLE,IT*2ZG*ESCAME184*6,45.4893115,12.2441628
AVAILABLE,IT*2ZG*ESCAME187*1,45.857465,9.1151954
AVAILABLE,IT*2ZG*ESCAME187*2,45.857465,9.1151954
AVAILABLE,IT*2ZG*ESCAME188*1,45.5270684,10.8174325
AVAILABLE,IT*2ZG*ESCAME188*2,45.5270684,10.8174325
AVAILABLE,IT*2ZG*ESCH02*1,44.9940592,9.0056848
AVAILABLE,IT*2ZG*ESCH02*2,44.9940592,9.0056848
AVAILABLE,IT*2ZG*ESCH03*1,44.9902226,9.0087914
AVAILABLE,IT*2ZG*ESCH03*2,44.9902226,9.0087914
AVAILABLE,IT*2ZG*ESCH04*1,44.9951553,9.0119629
AVAILABLE,IT*2ZG*ESCH04*2,44.9951553,9.0119629
AVAILABLE,IT*2ZG*ESDC002*1,45.6416368,10.0130516
AVAILABLE,IT*2ZG*ESDC002*2,45.6416368,10.0130516
AVAILABLE,IT*2ZG*ESDC002*3,45.6416368,10.0130516
AVAILABLE,IT*2ZG*ESDC003*1,45.6533895,9.7232307
AVAILABLE,IT*2ZG*ESDC003*2,45.6533895,9.7232307
AVAILABLE,IT*2ZG*ESDC003*3,45.6533895,9.7232307
AVAILABLE,IT*2ZG*ESDC004*1,45.6567936,9.7247048
AVAILABLE,IT*2ZG*ESDC004*2,45.6567936,9.7247048
AVAILABLE,IT*2ZG*ESDC004*3,45.6567936,9.7247048
AVAILABLE,IT*2ZG*ESDC005*1,45.6936453,11.7709713
AVAILABLE,IT*2ZG*ESDC005*2,45.6936453,11.7709713
AVAILABLE,IT*2ZG*ESDC005*3,45.6936453,11.7709713
AVAILABLE,IT*2ZG*ESDC006*1,45.6934693,11.7709925
AVAILABLE,IT*2ZG*ESDC006*2,45.6934693,11.7709925
AVAILABLE,IT*2ZG*ESDC007*1,45.6933244,11.7710476
AVAILABLE,IT*2ZG*ESDC007*2,45.6933244,11.7710476
AVAILABLE,IT*2ZG*ET54-HU1-0321-010*1,40.9599756,17.2605556
AVAILABLE,IT*2ZG*ET54-HU1-0321-010*2,40.9599756,17.2605556
AVAILABLE,IT*2ZG*ET54-HU1-0321-010*3,40.9599756,17.2605556
AVAILABLE,IT*2ZG*ET54-HU1-2021-004*1,45.4199721,10.9841521
AVAILABLE,IT*2ZG*ET54-HU1-2021-004*2,45.4199721,10.9841521
AVAILABLE,IT*2ZG*ET54-HU1-2021-004*3,45.4199721,10.9841521
AVAILABLE,IT*2ZG*ET54-HU1-2021-007*1,45.420106,10.984298
AVAILABLE,IT*2ZG*ET54-HU1-2021-007*2,45.420106,10.984298
AVAILABLE,IT*2ZG*ET54-HU1-2021-007*3,45.420106,10.984298
AVAILABLE,IT*2ZG*ET54-HU1-2021-013*1,37.9931554,13.8819969
AVAILABLE,IT*2ZG*ET54-HU1-2021-013*2,37.9931554,13.8819969
AVAILABLE,IT*2ZG*ET54-HU1-2021-013*3,37.9931554,13.8819969
AVAILABLE,IT*2ZG*ET54-HU1-2621-002*1,38.0852421,13.4253876
AVAILABLE,IT*2ZG*ET54-HU1-2621-002*2,38.0852421,13.4253876
AVAILABLE,IT*2ZG*ET54-HU1-2621-002*3,38.0852421,13.4253876
AVAILABLE,IT*2ZG*ET54-HU1-3522-009*1,45.4297689,9.9847071
AVAILABLE,IT*2ZG*ET54-HU1-3522-009*2,45.4297689,9.9847071
AVAILABLE,IT*2ZG*ET54-HU1-3522-009*3,45.4297689,9.9847071
AVAILABLE,IT*2ZG*ET184-HU1-2322-027*1,45.7972887,9.1212142
AVAILABLE,IT*2ZG*ET184-HU1-2322-027*2,45.7972887,9.1212142
AVAILABLE,IT*2ZG*ETACW741322S4797*1,41.9379594,14.5820424
AVAILABLE,IT*2ZG*ETACW744123S1553*1,37.788091,14.103776
AVAILABLE,IT*2ZG*ETACW2240421S0546*1,41.6860155,13.2668402
AVAILABLE,IT*2ZG*ETACW2241221S0758*1,41.6944573,13.2527784
AVAILABLE,IT*2ZG*ETACW2241521S0014*1,37.7879831,14.1035318
AVAILABLE,IT*2ZG*ETACW2241521S0067*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241521S0362*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241521S0378*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5027*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5157*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5158*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5162*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5165*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5173*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5174*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5175*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5177*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5181*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5182*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5183*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5184*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5187*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5188*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5189*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241721S5191*1,45.4194154,10.9837097
AVAILABLE,IT*2ZG*ETACW2241822S0980*1,37.7568977,14.4043854
AVAILABLE,IT*2ZG*ETACW2242122S6840*1,41.698406,13.238817
AVAILABLE,IT*2ZG*ETACW2242221S0018*1,38.0328198,12.530942
AVAILABLE,IT*2ZG*ETACW2242621S0778*1,41.0362871,14.5498086
AVAILABLE,IT*2ZG*ETACW2242621S0785*1,41.159981,14.674583
AVAILABLE,IT*2ZG*ETACW2243420S0111*1,41.020533,14.616604
AVAILABLE,IT*2ZG*ETACW2243720S0125*1,43.9420493,10.9169957
