_link,_link_main,standard,power_type,max_electric_power
21249.connectors.0,21249,CHADEMO,DC,50000
21250.connectors.0,21250,IEC_62196_T2,AC_3_PHASE,41465
21251.connectors.0,21251,IEC_62196_T2_COMBO,DC,50000
21252.connectors.0,21252,CHADEMO,DC,50000
21253.connectors.0,21253,IEC_62196_T2,AC_3_PHASE,41465
21254.connectors.0,21254,IEC_62196_T2_COMBO,DC,50000
21255.connectors.0,21255,CHADEMO,DC,50000
21256.connectors.0,21256,IEC_62196_T2,AC_3_PHASE,43000
21257.connectors.0,21257,IEC_62196_T2_COMBO,DC,50000
21258.connectors.0,21258,CHADEMO,DC,50000
21259.connectors.0,21259,IEC_62196_T2,AC_3_PHASE,41465
21260.connectors.0,21260,IEC_62196_T2_COMBO,DC,50000
21261.connectors.0,21261,CHADEMO,DC,50000
21262.connectors.0,21262,IEC_62196_T2,AC_3_PHASE,41465
21263.connectors.0,21263,IEC_62196_T2_COMBO,DC,50000
21264.connectors.0,21264,CHADEMO,DC,50000
21265.connectors.0,21265,IEC_62196_T2,AC_3_PHASE,43000
21266.connectors.0,21266,IEC_62196_T2_COMBO,DC,50000
21267.connectors.0,21267,CHADEMO,DC,50000
21268.connectors.0,21268,IEC_62196_T2,AC_3_PHASE,43000
21269.connectors.0,21269,IEC_62196_T2_COMBO,DC,50000
21270.connectors.0,21270,CHADEMO,DC,50000
21271.connectors.0,21271,IEC_62196_T2,AC_3_PHASE,22000
21272.connectors.0,21272,IEC_62196_T2_COMBO,DC,50000
21273.connectors.0,21273,CHADEMO,DC,50000
21274.connectors.0,21274,IEC_62196_T2,AC_3_PHASE,41465
21275.connectors.0,21275,IEC_62196_T2_COMBO,DC,50000
21276.connectors.0,21276,CHADEMO,DC,50000
21277.connectors.0,21277,IEC_62196_T2,AC_3_PHASE,34225
21278.connectors.0,21278,IEC_62196_T2_COMBO,DC,50000
21279.connectors.0,21279,CHADEMO,DC,50000
21280.connectors.0,21280,IEC_62196_T2,AC_3_PHASE,43000
21281.connectors.0,21281,IEC_62196_T2_COMBO,DC,50000
21282.connectors.0,21282,CHADEMO,DC,50000
21283.connectors.0,21283,IEC_62196_T2,AC_3_PHASE,43000
21284.connectors.0,21284,IEC_62196_T2_COMBO,DC,50000
21285.connectors.0,21285,CHADEMO,DC,50000
21286.connectors.0,21286,IEC_62196_T2,AC_3_PHASE,43000
21287.connectors.0,21287,IEC_62196_T2_COMBO,DC,50000
21288.connectors.0,21288,CHADEMO,DC,50000
21289.connectors.0,21289,IEC_62196_T2,AC_3_PHASE,43000
21290.connectors.0,21290,IEC_62196_T2_COMBO,DC,50000
21291.connectors.0,21291,CHADEMO,DC,50000
21292.connectors.0,21292,IEC_62196_T2,AC_3_PHASE,22000
21293.connectors.0,21293,IEC_62196_T2_COMBO,DC,50000
21294.connectors.0,21294,CHADEMO,DC,50000
21295.connectors.0,21295,IEC_62196_T2,AC_3_PHASE,34225
21296.connectors.0,21296,IEC_62196_T2_COMBO,DC,50000
21297.connectors.0,21297,CHADEMO,DC,50000
21298.connectors.0,21298,IEC_62196_T2,AC_3_PHASE,22000
21299.connectors.0,21299,IEC_62196_T2_COMBO,DC,50000
21300.connectors.0,21300,CHADEMO,DC,50000
21301.connectors.0,21301,IEC_62196_T2,AC_3_PHASE,43000
21302.connectors.0,21302,IEC_62196_T2_COMBO,DC,50000
21303.connectors.0,21303,CHADEMO,DC,50000
21304.connectors.0,21304,IEC_62196_T2,AC_3_PHASE,22000
21305.connectors.0,21305,IEC_62196_T2_COMBO,DC,50000
21306.connectors.0,21306,CHADEMO,DC,50000
21307.connectors.0,21307,IEC_62196_T2,AC_3_PHASE,43000
21308.connectors.0,21308,IEC_62196_T2_COMBO,DC,50000
21309.connectors.0,21309,CHADEMO,DC,50000
21310.connectors.0,21310,IEC_62196_T2,AC_3_PHASE,43000
21311.connectors.0,21311,IEC_62196_T2_COMBO,DC,50000
21312.connectors.0,21312,CHADEMO,DC,50000
21313.connectors.0,21313,IEC_62196_T2,AC_3_PHASE,22000
21314.connectors.0,21314,IEC_62196_T2_COMBO,DC,50000
21315.connectors.0,21315,CHADEMO,DC,50000
21316.connectors.0,21316,IEC_62196_T2,AC_3_PHASE,34225
21317.connectors.0,21317,IEC_62196_T2_COMBO,DC,50000
21318.connectors.0,21318,CHADEMO,DC,50000
21319.connectors.0,21319,IEC_62196_T2,AC_3_PHASE,43000
21320.connectors.0,21320,IEC_62196_T2_COMBO,DC,50000
21321.connectors.0,21321,CHADEMO,DC,50000
21322.connectors.0,21322,IEC_62196_T2,AC_3_PHASE,35541
21323.connectors.0,21323,IEC_62196_T2_COMBO,DC,50000
21324.connectors.0,21324,CHADEMO,DC,50000
21325.connectors.0,21325,IEC_62196_T2,AC_3_PHASE,22000
21326.connectors.0,21326,IEC_62196_T2_COMBO,DC,50000
21327.connectors.0,21327,CHADEMO,DC,50000
21328.connectors.0,21328,IEC_62196_T2,AC_3_PHASE,43000
21329.connectors.0,21329,IEC_62196_T2_COMBO,DC,50000
21330.connectors.0,21330,CHADEMO,DC,50000
21331.connectors.0,21331,IEC_62196_T2,AC_3_PHASE,22000
21332.connectors.0,21332,IEC_62196_T2,AC_3_PHASE,20403
21333.connectors.0,21333,IEC_62196_T2,AC_3_PHASE,20403
21334.connectors.0,21334,IEC_62196_T2,AC_3_PHASE,14479
21335.connectors.0,21335,IEC_62196_T2,AC_3_PHASE,14479
21336.connectors.0,21336,IEC_62196_T2,AC_3_PHASE,11847
21337.connectors.0,21337,IEC_62196_T2,AC_3_PHASE,11847
21338.connectors.0,21338,IEC_62196_T2,AC_3_PHASE,14479
21339.connectors.0,21339,IEC_62196_T2,AC_3_PHASE,14479
21340.connectors.0,21340,IEC_62196_T3A,AC_1_PHASE,2300
21341.connectors.0,21341,IEC_62196_T2,AC_3_PHASE,22000
21342.connectors.0,21342,IEC_62196_T2,AC_3_PHASE,11000
21343.connectors.0,21343,IEC_62196_T2,AC_3_PHASE,11000
21344.connectors.0,21344,IEC_62196_T2,AC_3_PHASE,20403
21345.connectors.0,21345,IEC_62196_T2,AC_3_PHASE,20403
21346.connectors.0,21346,IEC_62196_T2,AC_3_PHASE,20403
21347.connectors.0,21347,IEC_62196_T2,AC_3_PHASE,20403
21348.connectors.0,21348,IEC_62196_T2,AC_3_PHASE,22000
21349.connectors.0,21349,IEC_62196_T2,AC_3_PHASE,22000
21350.connectors.0,21350,IEC_62196_T2,AC_3_PHASE,22000
21351.connectors.0,21351,IEC_62196_T2,AC_3_PHASE,22000
21352.connectors.0,21352,IEC_62196_T2,AC_3_PHASE,20403
21353.connectors.0,21353,IEC_62196_T2,AC_3_PHASE,20403
21354.connectors.0,21354,IEC_62196_T2,AC_3_PHASE,14479
21355.connectors.0,21355,IEC_62196_T2,AC_3_PHASE,14479
21356.connectors.0,21356,IEC_62196_T2,AC_3_PHASE,20403
21357.connectors.0,21357,IEC_62196_T2,AC_3_PHASE,20403
21358.connectors.0,21358,IEC_62196_T2,AC_3_PHASE,20403
21359.connectors.0,21359,IEC_62196_T2,AC_3_PHASE,20403
21360.connectors.0,21360,IEC_62196_T2,AC_3_PHASE,22000
21361.connectors.0,21361,IEC_62196_T2,AC_3_PHASE,22000
21362.connectors.0,21362,IEC_62196_T2,AC_3_PHASE,22000
21363.connectors.0,21363,IEC_62196_T2,AC_3_PHASE,22000
21364.connectors.0,21364,IEC_62196_T2,AC_3_PHASE,20403
21365.connectors.0,21365,IEC_62196_T2,AC_3_PHASE,20403
21366.connectors.0,21366,IEC_62196_T2,AC_3_PHASE,20403
21367.connectors.0,21367,IEC_62196_T2,AC_3_PHASE,20403
21368.connectors.0,21368,IEC_62196_T2,AC_3_PHASE,15000
21369.connectors.0,21369,IEC_62196_T2,AC_3_PHASE,15000
21370.connectors.0,21370,IEC_62196_T2,AC_3_PHASE,20403
21371.connectors.0,21371,IEC_62196_T2,AC_3_PHASE,20403
21372.connectors.0,21372,IEC_62196_T2,AC_3_PHASE,7500
21373.connectors.0,21373,IEC_62196_T2,AC_3_PHASE,7500
21374.connectors.0,21374,IEC_62196_T2,AC_3_PHASE,15000
21375.connectors.0,21375,IEC_62196_T2,AC_3_PHASE,15000
21376.connectors.0,21376,IEC_62196_T2,AC_3_PHASE,11847
21377.connectors.0,21377,IEC_62196_T2,AC_3_PHASE,11847
21378.connectors.0,21378,IEC_62196_T2,AC_3_PHASE,22000
21379.connectors.0,21379,IEC_62196_T2,AC_3_PHASE,22000
21380.connectors.0,21380,IEC_62196_T2,AC_3_PHASE,22000
21381.connectors.0,21381,IEC_62196_T2,AC_3_PHASE,22000
21382.connectors.0,21382,IEC_62196_T2,AC_3_PHASE,20403
21383.connectors.0,21383,IEC_62196_T2,AC_3_PHASE,20403
21384.connectors.0,21384,IEC_62196_T2,AC_3_PHASE,20403
21385.connectors.0,21385,IEC_62196_T2,AC_3_PHASE,20403
21386.connectors.0,21386,IEC_62196_T2,AC_3_PHASE,22000
21387.connectors.0,21387,IEC_62196_T2,AC_3_PHASE,22000
21388.connectors.0,21388,IEC_62196_T2,AC_3_PHASE,20403
21389.connectors.0,21389,IEC_62196_T2,AC_3_PHASE,20403
21390.connectors.0,21390,IEC_62196_T2,AC_3_PHASE,20403
21391.connectors.0,21391,IEC_62196_T2,AC_3_PHASE,20403
21392.connectors.0,21392,IEC_62196_T2,AC_3_PHASE,20403
21393.connectors.0,21393,IEC_62196_T2,AC_3_PHASE,20403
21394.connectors.0,21394,IEC_62196_T2,AC_3_PHASE,20403
21395.connectors.0,21395,IEC_62196_T2,AC_3_PHASE,20403
21396.connectors.0,21396,IEC_62196_T2,AC_3_PHASE,20403
21397.connectors.0,21397,IEC_62196_T2,AC_3_PHASE,20403
21398.connectors.0,21398,IEC_62196_T2,AC_3_PHASE,20403
21399.connectors.0,21399,IEC_62196_T2,AC_3_PHASE,20403
21400.connectors.0,21400,IEC_62196_T2,AC_3_PHASE,20403
21401.connectors.0,21401,IEC_62196_T2,AC_3_PHASE,20403
21402.connectors.0,21402,IEC_62196_T2,AC_3_PHASE,20403
21403.connectors.0,21403,IEC_62196_T2,AC_3_PHASE,20403
21404.connectors.0,21404,IEC_62196_T2,AC_3_PHASE,20403
21405.connectors.0,21405,IEC_62196_T2,AC_3_PHASE,20403
21406.connectors.0,21406,IEC_62196_T2,AC_3_PHASE,20403
21407.connectors.0,21407,IEC_62196_T2,AC_3_PHASE,20403
21408.connectors.0,21408,IEC_62196_T2,AC_3_PHASE,22000
21409.connectors.0,21409,IEC_62196_T2,AC_3_PHASE,22000
21410.connectors.0,21410,IEC_62196_T2,AC_3_PHASE,20403
21411.connectors.0,21411,IEC_62196_T2,AC_3_PHASE,20403
21412.connectors.0,21412,IEC_62196_T2,AC_3_PHASE,22000
21413.connectors.0,21413,IEC_62196_T2,AC_3_PHASE,22000
21414.connectors.0,21414,IEC_62196_T2,AC_3_PHASE,20403
21415.connectors.0,21415,IEC_62196_T2,AC_3_PHASE,20403
21416.connectors.0,21416,IEC_62196_T2,AC_3_PHASE,22000
21417.connectors.0,21417,IEC_62196_T2,AC_3_PHASE,22000
21418.connectors.0,21418,IEC_62196_T2,AC_3_PHASE,20403
21419.connectors.0,21419,IEC_62196_T2,AC_3_PHASE,20403
21420.connectors.0,21420,IEC_62196_T2,AC_3_PHASE,20403
21421.connectors.0,21421,IEC_62196_T2,AC_3_PHASE,20403
21422.connectors.0,21422,IEC_62196_T2,AC_3_PHASE,20403
21423.connectors.0,21423,IEC_62196_T2,AC_3_PHASE,20403
21424.connectors.0,21424,IEC_62196_T2,AC_3_PHASE,20403
21425.connectors.0,21425,IEC_62196_T2,AC_3_PHASE,20403
21426.connectors.0,21426,IEC_62196_T2,AC_3_PHASE,20403
21427.connectors.0,21427,IEC_62196_T2,AC_3_PHASE,18429
21428.connectors.0,21428,IEC_62196_T2,AC_3_PHASE,20403
21429.connectors.0,21429,IEC_62196_T2,AC_3_PHASE,20403
21430.connectors.0,21430,IEC_62196_T2,AC_3_PHASE,22000
21431.connectors.0,21431,IEC_62196_T2,AC_3_PHASE,22000
21432.connectors.0,21432,IEC_62196_T2,AC_3_PHASE,20403
21433.connectors.0,21433,IEC_62196_T2,AC_3_PHASE,20403
21434.connectors.0,21434,IEC_62196_T2,AC_3_PHASE,22000
21435.connectors.0,21435,IEC_62196_T2,AC_3_PHASE,22000
21436.connectors.0,21436,IEC_62196_T2,AC_3_PHASE,20403
21437.connectors.0,21437,IEC_62196_T2,AC_3_PHASE,20403
21438.connectors.0,21438,IEC_62196_T2,AC_3_PHASE,22000
21439.connectors.0,21439,IEC_62196_T2,AC_3_PHASE,22000
21440.connectors.0,21440,IEC_62196_T2,AC_3_PHASE,20403
21441.connectors.0,21441,IEC_62196_T2,AC_3_PHASE,20403
21442.connectors.0,21442,IEC_62196_T2,AC_3_PHASE,22000
21443.connectors.0,21443,IEC_62196_T2,AC_3_PHASE,22000
21444.connectors.0,21444,IEC_62196_T2,AC_3_PHASE,20403
21445.connectors.0,21445,IEC_62196_T2,AC_3_PHASE,20403
21446.connectors.0,21446,IEC_62196_T2,AC_3_PHASE,22000
21447.connectors.0,21447,IEC_62196_T2,AC_3_PHASE,22000
21448.connectors.0,21448,IEC_62196_T2,AC_3_PHASE,15000
21449.connectors.0,21449,IEC_62196_T2,AC_3_PHASE,15000
21450.connectors.0,21450,IEC_62196_T2,AC_3_PHASE,11847
21451.connectors.0,21451,IEC_62196_T2,AC_3_PHASE,11847
21452.connectors.0,21452,IEC_62196_T2,AC_3_PHASE,20403
21453.connectors.0,21453,IEC_62196_T2,AC_3_PHASE,20403
21454.connectors.0,21454,IEC_62196_T2,AC_3_PHASE,20403
21455.connectors.0,21455,IEC_62196_T2,AC_3_PHASE,20403
21456.connectors.0,21456,IEC_62196_T2,AC_3_PHASE,20403
21457.connectors.0,21457,IEC_62196_T2,AC_3_PHASE,20403
21458.connectors.0,21458,IEC_62196_T2,AC_3_PHASE,14479
21459.connectors.0,21459,IEC_62196_T2,AC_3_PHASE,14479
21460.connectors.0,21460,IEC_62196_T2,AC_3_PHASE,20403
21461.connectors.0,21461,IEC_62196_T2,AC_3_PHASE,20403
21462.connectors.0,21462,IEC_62196_T2,AC_3_PHASE,20403
21463.connectors.0,21463,IEC_62196_T2,AC_3_PHASE,20403
21464.connectors.0,21464,IEC_62196_T2,AC_3_PHASE,20403
21465.connectors.0,21465,IEC_62196_T2,AC_3_PHASE,20403
21466.connectors.0,21466,IEC_62196_T2,AC_3_PHASE,20403
21467.connectors.0,21467,IEC_62196_T2,AC_3_PHASE,20403
21468.connectors.0,21468,IEC_62196_T2,AC_3_PHASE,20403
21469.connectors.0,21469,IEC_62196_T2,AC_3_PHASE,20403
21470.connectors.0,21470,IEC_62196_T2,AC_3_PHASE,20403
21471.connectors.0,21471,IEC_62196_T2,AC_3_PHASE,20403
21472.connectors.0,21472,IEC_62196_T2,AC_3_PHASE,20403
21473.connectors.0,21473,IEC_62196_T2,AC_3_PHASE,20403
21474.connectors.0,21474,IEC_62196_T2,AC_3_PHASE,22000
21475.connectors.0,21475,IEC_62196_T2,AC_3_PHASE,22000
21476.connectors.0,21476,IEC_62196_T2,AC_3_PHASE,20403
21477.connectors.0,21477,IEC_62196_T2,AC_3_PHASE,20403
21478.connectors.0,21478,IEC_62196_T2,AC_3_PHASE,11000
21479.connectors.0,21479,IEC_62196_T2,AC_3_PHASE,11000
21480.connectors.0,21480,IEC_62196_T2,AC_3_PHASE,20403
21481.connectors.0,21481,IEC_62196_T2,AC_3_PHASE,20403
21482.connectors.0,21482,IEC_62196_T2,AC_3_PHASE,20403
21483.connectors.0,21483,IEC_62196_T2,AC_3_PHASE,20403
21484.connectors.0,21484,IEC_62196_T2,AC_3_PHASE,20403
21485.connectors.0,21485,IEC_62196_T2,AC_3_PHASE,20403
21486.connectors.0,21486,IEC_62196_T2,AC_3_PHASE,20403
21487.connectors.0,21487,IEC_62196_T2,AC_3_PHASE,20403
21488.connectors.0,21488,IEC_62196_T2,AC_3_PHASE,22000
21489.connectors.0,21489,IEC_62196_T2,AC_3_PHASE,22000
21490.connectors.0,21490,IEC_62196_T2,AC_3_PHASE,20403
21491.connectors.0,21491,IEC_62196_T2,AC_3_PHASE,20403
21492.connectors.0,21492,IEC_62196_T2,AC_3_PHASE,20403
21493.connectors.0,21493,IEC_62196_T2,AC_3_PHASE,20403
21494.connectors.0,21494,IEC_62196_T2,AC_3_PHASE,20403
21495.connectors.0,21495,IEC_62196_T2,AC_3_PHASE,20403
21496.connectors.0,21496,IEC_62196_T2,AC_3_PHASE,20403
21497.connectors.0,21497,IEC_62196_T2,AC_3_PHASE,20403
21498.connectors.0,21498,IEC_62196_T2,AC_3_PHASE,20403
21499.connectors.0,21499,IEC_62196_T2,AC_3_PHASE,20403
21500.connectors.0,21500,IEC_62196_T2,AC_3_PHASE,14479
21501.connectors.0,21501,IEC_62196_T2,AC_3_PHASE,14479
21502.connectors.0,21502,IEC_62196_T2,AC_3_PHASE,22000
21503.connectors.0,21503,IEC_62196_T2,AC_3_PHASE,22000
21504.connectors.0,21504,IEC_62196_T2,AC_3_PHASE,20403
21505.connectors.0,21505,IEC_62196_T2,AC_3_PHASE,20403
21506.connectors.0,21506,IEC_62196_T2,AC_3_PHASE,11000
21507.connectors.0,21507,IEC_62196_T2,AC_3_PHASE,11000
21508.connectors.0,21508,IEC_62196_T2,AC_3_PHASE,11000
21509.connectors.0,21509,IEC_62196_T2,AC_3_PHASE,11000
21510.connectors.0,21510,IEC_62196_T2,AC_3_PHASE,20403
21511.connectors.0,21511,IEC_62196_T2,AC_3_PHASE,20403
21512.connectors.0,21512,IEC_62196_T2,AC_3_PHASE,22000
21513.connectors.0,21513,IEC_62196_T2,AC_3_PHASE,22000
21514.connectors.0,21514,IEC_62196_T2,AC_3_PHASE,15000
21515.connectors.0,21515,IEC_62196_T2,AC_3_PHASE,15000
21516.connectors.0,21516,IEC_62196_T2,AC_3_PHASE,20403
21517.connectors.0,21517,IEC_62196_T2,AC_3_PHASE,20403
21518.connectors.0,21518,IEC_62196_T2,AC_3_PHASE,20403
21519.connectors.0,21519,IEC_62196_T2,AC_3_PHASE,20403
21520.connectors.0,21520,IEC_62196_T2,AC_3_PHASE,20403
21521.connectors.0,21521,IEC_62196_T2,AC_3_PHASE,20403
21522.connectors.0,21522,IEC_62196_T2,AC_3_PHASE,20403
21523.connectors.0,21523,IEC_62196_T2,AC_3_PHASE,20403
21524.connectors.0,21524,IEC_62196_T2,AC_3_PHASE,20403
21525.connectors.0,21525,IEC_62196_T2,AC_3_PHASE,20403
21526.connectors.0,21526,IEC_62196_T2,AC_3_PHASE,20403
21527.connectors.0,21527,IEC_62196_T2,AC_3_PHASE,20403
21528.connectors.0,21528,IEC_62196_T2,AC_3_PHASE,20403
21529.connectors.0,21529,IEC_62196_T2,AC_3_PHASE,20403
21530.connectors.0,21530,IEC_62196_T2,AC_3_PHASE,20403
21531.connectors.0,21531,IEC_62196_T2,AC_3_PHASE,20403
21532.connectors.0,21532,IEC_62196_T2,AC_3_PHASE,20403
21533.connectors.0,21533,IEC_62196_T2,AC_3_PHASE,20403
21534.connectors.0,21534,IEC_62196_T2,AC_3_PHASE,20403
21535.connectors.0,21535,IEC_62196_T2,AC_3_PHASE,20403
21536.connectors.0,21536,IEC_62196_T2,AC_3_PHASE,20403
21537.connectors.0,21537,IEC_62196_T2,AC_3_PHASE,20403
21538.connectors.0,21538,IEC_62196_T2,AC_3_PHASE,17770
21539.connectors.0,21539,IEC_62196_T2,AC_3_PHASE,17770
21540.connectors.0,21540,IEC_62196_T2,AC_3_PHASE,20403
21541.connectors.0,21541,IEC_62196_T2,AC_3_PHASE,20403
21542.connectors.0,21542,IEC_62196_T2,AC_3_PHASE,20403
21543.connectors.0,21543,IEC_62196_T2,AC_3_PHASE,20403
21544.connectors.0,21544,IEC_62196_T2,AC_3_PHASE,22000
21545.connectors.0,21545,IEC_62196_T2,AC_3_PHASE,22000
21546.connectors.0,21546,IEC_62196_T2,AC_3_PHASE,20403
21547.connectors.0,21547,IEC_62196_T2,AC_3_PHASE,20403
21548.connectors.0,21548,IEC_62196_T2,AC_3_PHASE,20403
21549.connectors.0,21549,IEC_62196_T2,AC_3_PHASE,20403
21550.connectors.0,21550,IEC_62196_T2,AC_3_PHASE,22000
21551.connectors.0,21551,IEC_62196_T2,AC_3_PHASE,22000
21552.connectors.0,21552,IEC_62196_T2,AC_1_PHASE,6773
21553.connectors.0,21553,IEC_62196_T2,AC_1_PHASE,6773
21554.connectors.0,21554,IEC_62196_T2,AC_3_PHASE,20403
21555.connectors.0,21555,IEC_62196_T2,AC_3_PHASE,20403
21556.connectors.0,21556,IEC_62196_T2,AC_3_PHASE,14479
21557.connectors.0,21557,IEC_62196_T2,AC_3_PHASE,14479
21558.connectors.0,21558,IEC_62196_T2,AC_3_PHASE,20403
21559.connectors.0,21559,IEC_62196_T2,AC_3_PHASE,20403
21560.connectors.0,21560,IEC_62196_T2,AC_3_PHASE,20403
21561.connectors.0,21561,IEC_62196_T2,AC_3_PHASE,20403
21562.connectors.0,21562,IEC_62196_T2,AC_3_PHASE,20403
21563.connectors.0,21563,IEC_62196_T2,AC_3_PHASE,20403
21564.connectors.0,21564,IEC_62196_T2,AC_3_PHASE,14479
21565.connectors.0,21565,IEC_62196_T2,AC_3_PHASE,14479
21566.connectors.0,21566,IEC_62196_T2,AC_3_PHASE,14479
21567.connectors.0,21567,IEC_62196_T2,AC_3_PHASE,14479
21568.connectors.0,21568,IEC_62196_T2,AC_3_PHASE,22000
21569.connectors.0,21569,IEC_62196_T2,AC_3_PHASE,22000
21570.connectors.0,21570,IEC_62196_T2,AC_3_PHASE,15000
21571.connectors.0,21571,IEC_62196_T2,AC_3_PHASE,15000
21572.connectors.0,21572,IEC_62196_T2,AC_3_PHASE,22000
21573.connectors.0,21573,IEC_62196_T2,AC_3_PHASE,22000
21574.connectors.0,21574,IEC_62196_T2,AC_3_PHASE,22000
21575.connectors.0,21575,IEC_62196_T2,AC_3_PHASE,22000
21576.connectors.0,21576,IEC_62196_T2,AC_3_PHASE,14479
21577.connectors.0,21577,IEC_62196_T2,AC_3_PHASE,14479
21578.connectors.0,21578,IEC_62196_T2,AC_3_PHASE,20403
21579.connectors.0,21579,IEC_62196_T2,AC_3_PHASE,20403
21580.connectors.0,21580,IEC_62196_T2,AC_3_PHASE,20403
21581.connectors.0,21581,IEC_62196_T2,AC_3_PHASE,20403
21582.connectors.0,21582,IEC_62196_T2,AC_3_PHASE,22000
21583.connectors.0,21583,IEC_62196_T2,AC_3_PHASE,14479
21584.connectors.0,21584,IEC_62196_T2,AC_3_PHASE,20403
21585.connectors.0,21585,IEC_62196_T2,AC_3_PHASE,20403
21586.connectors.0,21586,IEC_62196_T2,AC_3_PHASE,20403
21587.connectors.0,21587,IEC_62196_T2,AC_3_PHASE,22000
21588.connectors.0,21588,IEC_62196_T2,AC_3_PHASE,15000
21589.connectors.0,21589,IEC_62196_T2,AC_3_PHASE,15000
21590.connectors.0,21590,IEC_62196_T2,AC_3_PHASE,20403
21591.connectors.0,21591,IEC_62196_T2,AC_3_PHASE,20403
21592.connectors.0,21592,IEC_62196_T2,AC_3_PHASE,20403
21593.connectors.0,21593,IEC_62196_T2,AC_3_PHASE,20403
21594.connectors.0,21594,IEC_62196_T2,AC_3_PHASE,22000
21595.connectors.0,21595,IEC_62196_T2,AC_3_PHASE,22000
21596.connectors.0,21596,IEC_62196_T2,AC_3_PHASE,15000
21597.connectors.0,21597,IEC_62196_T2,AC_3_PHASE,15000
21598.connectors.0,21598,IEC_62196_T2,AC_3_PHASE,14479
21599.connectors.0,21599,IEC_62196_T2,AC_3_PHASE,14479
21600.connectors.0,21600,IEC_62196_T2,AC_3_PHASE,20403
21601.connectors.0,21601,IEC_62196_T2,AC_3_PHASE,20403
21602.connectors.0,21602,IEC_62196_T2,AC_3_PHASE,20403
21603.connectors.0,21603,IEC_62196_T2,AC_3_PHASE,20403
21604.connectors.0,21604,IEC_62196_T2,AC_3_PHASE,14479
21605.connectors.0,21605,IEC_62196_T2,AC_3_PHASE,14479
21606.connectors.0,21606,IEC_62196_T2,AC_3_PHASE,20403
21607.connectors.0,21607,IEC_62196_T2,AC_3_PHASE,20403
21608.connectors.0,21608,IEC_62196_T2,AC_3_PHASE,20403
21609.connectors.0,21609,IEC_62196_T2,AC_3_PHASE,20403
21610.connectors.0,21610,IEC_62196_T2,AC_3_PHASE,20403
21611.connectors.0,21611,IEC_62196_T2,AC_3_PHASE,20403
21612.connectors.0,21612,IEC_62196_T2,AC_3_PHASE,14479
21613.connectors.0,21613,IEC_62196_T2,AC_3_PHASE,14479
21614.connectors.0,21614,IEC_62196_T2,AC_3_PHASE,14479
21615.connectors.0,21615,IEC_62196_T2,AC_3_PHASE,14479
21616.connectors.0,21616,IEC_62196_T2,AC_3_PHASE,20403
21617.connectors.0,21617,IEC_62196_T2,AC_3_PHASE,20403
21618.connectors.0,21618,IEC_62196_T2,AC_3_PHASE,15000
21619.connectors.0,21619,IEC_62196_T2,AC_3_PHASE,15000
21620.connectors.0,21620,IEC_62196_T2,AC_3_PHASE,20403
21621.connectors.0,21621,IEC_62196_T2,AC_3_PHASE,20403
21622.connectors.0,21622,IEC_62196_T2,AC_3_PHASE,20403
21623.connectors.0,21623,IEC_62196_T2,AC_3_PHASE,20403
21624.connectors.0,21624,IEC_62196_T2,AC_3_PHASE,20403
21625.connectors.0,21625,IEC_62196_T2,AC_3_PHASE,20403
21626.connectors.0,21626,IEC_62196_T2,AC_3_PHASE,20403
21627.connectors.0,21627,IEC_62196_T2,AC_3_PHASE,20403
21628.connectors.0,21628,IEC_62196_T2,AC_3_PHASE,22000
21629.connectors.0,21629,IEC_62196_T2,AC_3_PHASE,22000
21630.connectors.0,21630,IEC_62196_T2,AC_3_PHASE,20403
21631.connectors.0,21631,IEC_62196_T2,AC_3_PHASE,20403
21632.connectors.0,21632,IEC_62196_T2,AC_3_PHASE,20403
21633.connectors.0,21633,IEC_62196_T2,AC_3_PHASE,20403
21634.connectors.0,21634,IEC_62196_T2,AC_3_PHASE,20403
21635.connectors.0,21635,IEC_62196_T2,AC_3_PHASE,20403
21636.connectors.0,21636,IEC_62196_T2,AC_3_PHASE,14479
21637.connectors.0,21637,IEC_62196_T2,AC_3_PHASE,14479
21638.connectors.0,21638,IEC_62196_T2,AC_3_PHASE,20403
21639.connectors.0,21639,IEC_62196_T2,AC_3_PHASE,20403
21640.connectors.0,21640,IEC_62196_T2,AC_3_PHASE,20403
21641.connectors.0,21641,IEC_62196_T2,AC_3_PHASE,20403
21642.connectors.0,21642,IEC_62196_T2,AC_3_PHASE,22000
21643.connectors.0,21643,IEC_62196_T2,AC_3_PHASE,22000
21644.connectors.0,21644,IEC_62196_T2,AC_3_PHASE,20403
21645.connectors.0,21645,IEC_62196_T2,AC_3_PHASE,20403
21646.connectors.0,21646,IEC_62196_T2,AC_3_PHASE,15000
21647.connectors.0,21647,IEC_62196_T2,AC_3_PHASE,15000
21648.connectors.0,21648,IEC_62196_T2,AC_3_PHASE,22000
21649.connectors.0,21649,IEC_62196_T2,AC_3_PHASE,22000
21650.connectors.0,21650,IEC_62196_T2,AC_3_PHASE,14479
21651.connectors.0,21651,IEC_62196_T2,AC_3_PHASE,14479
21652.connectors.0,21652,IEC_62196_T2,AC_3_PHASE,20403
21653.connectors.0,21653,IEC_62196_T2,AC_3_PHASE,20403
21654.connectors.0,21654,IEC_62196_T2,AC_3_PHASE,15000
21655.connectors.0,21655,IEC_62196_T2,AC_3_PHASE,15000
21656.connectors.0,21656,IEC_62196_T2,AC_3_PHASE,22000
